model,direction,outcome,predictor,lag_spec,n_obs,n_countries,country_fe,year_fe,controls,interpretation,coef_lag1,se_lag1,p_lag1,ci_low_lag1,ci_high_lag1,coef_lag2,se_lag2,p_lag2,ci_low_lag2,ci_high_lag2,coef_lag3,se_lag3,p_lag3,ci_low_lag3,ci_high_lag3
lead_lag_populism_to_corruption_L1_controlled,populism_to_corruption,v2x_corr,populism_governing,1-1,3845,95,True,True,"log_gdppc, v2x_polyarchy",No robust lag coefficient at p < 0.05,-0.05612369113153401,0.030442184893490428,0.06531910112485595,-0.11580880683173131,0.0035614245686632975,,,,,,,,,,
lead_lag_corruption_to_populism_L1_controlled,corruption_to_populism,populism_governing,v2x_corr,1-1,3845,95,True,True,"log_gdppc, v2x_polyarchy",Lagged corruption predicts lower later populism,-0.1891993361342631,0.07967417701599028,0.017615693241966435,-0.345408967281147,-0.03298970498737919,,,,,,,,,,
lead_lag_populism_to_corruption_L2_controlled,populism_to_corruption,v2x_corr,populism_governing,1-2,3750,95,True,True,"log_gdppc, v2x_polyarchy",Lagged populism predicts lower later corruption,-0.04828271418866661,0.022436138412667256,0.03146307021063688,-0.09227151050987059,-0.004293917867462624,-0.00802645295347239,0.019434694152734758,0.6796340373866083,-0.046130550321978055,0.03007764441503328,,,,,
lead_lag_corruption_to_populism_L2_controlled,corruption_to_populism,populism_governing,v2x_corr,1-2,3750,95,True,True,"log_gdppc, v2x_polyarchy",No robust lag coefficient at p < 0.05,-0.06633816884150236,0.12206734627657581,0.5868498442228198,-0.30566614650269125,0.1729898088196865,-0.1258718443122979,0.10929006147148018,0.24951143831717126,-0.3401483907293279,0.08840470210473209,,,,,
lead_lag_populism_to_corruption_L3_controlled,populism_to_corruption,v2x_corr,populism_governing,1-3,3655,95,True,True,"log_gdppc, v2x_polyarchy",Lagged populism predicts lower later corruption,-0.04855059401610836,0.023050770388632576,0.03525382485854567,-0.09374486262967477,-0.0033563254025419445,0.008893708251484896,0.007804174774323432,0.25452699496023623,-0.006407471063195506,0.024194887566165297,-0.018293218788294662,0.01802482736878849,0.3102281906504578,-0.05363342113658223,0.01704698355999291
lead_lag_corruption_to_populism_L3_controlled,corruption_to_populism,populism_governing,v2x_corr,1-3,3655,95,True,True,"log_gdppc, v2x_polyarchy",No robust lag coefficient at p < 0.05,-0.10381786443883824,0.12005155918927818,0.38722014014516004,-0.3391957855235646,0.1315600566458881,0.04215528608999722,0.06431139804538134,0.5121972170809921,-0.0839362305566781,0.16824680273667253,-0.13255437900950265,0.09411342222164246,0.1590854211292907,-0.31707694429974764,0.05196818628074232
lead_lag_populism_to_corruption_L1_no_controls,populism_to_corruption,v2x_corr,populism_governing,1-1,3869,96,True,True,none,No robust lag coefficient at p < 0.05,-0.0556555206169455,0.03702695302729358,0.13289591013461433,-0.12825060954200193,0.01693956830811092,,,,,,,,,,
lead_lag_corruption_to_populism_L1_no_controls,corruption_to_populism,populism_governing,v2x_corr,1-1,3869,96,True,True,none,Lagged corruption predicts lower later populism,-0.1597957135290725,0.07868780719173551,0.042350689416470466,-0.3140711235578428,-0.005520303500302193,,,,,,,,,,
lead_lag_populism_to_corruption_L2_no_controls,populism_to_corruption,v2x_corr,populism_governing,1-2,3773,96,True,True,none,Lagged populism predicts lower later corruption,-0.055363437273923136,0.026948026090902792,0.04000340497382138,-0.10819822438174571,-0.0025286501661005573,0.0023200123597466983,0.025205962699224666,0.9266695896756425,-0.04709925377013246,0.05173927848962586,,,,,
lead_lag_corruption_to_populism_L2_no_controls,corruption_to_populism,populism_governing,v2x_corr,1-2,3773,96,True,True,none,No robust lag coefficient at p < 0.05,-0.043525191278841795,0.12375016411581534,0.7250699976917638,-0.28615200014275466,0.19910161758507106,-0.11736696928187808,0.1069802175525529,0.2726746890902456,-0.32711431775449185,0.0923803791907357,,,,,
lead_lag_populism_to_corruption_L3_no_controls,populism_to_corruption,v2x_corr,populism_governing,1-3,3677,96,True,True,none,Lagged populism predicts lower later corruption,-0.05518465628388546,0.027871952093108353,0.04778831994595567,-0.10983140509659711,-0.0005379074711738124,0.009589574211543868,0.009778784518214045,0.32683207110743107,-0.00958306139988887,0.028762209822976607,-0.006728591566219642,0.02195444707599603,0.7592575260091203,-0.0497732678298738,0.03631608469743452
lead_lag_corruption_to_populism_L3_no_controls,corruption_to_populism,populism_governing,v2x_corr,1-3,3677,96,True,True,none,No robust lag coefficient at p < 0.05,-0.07922435508832336,0.12225563465023696,0.5170127678325629,-0.31892313669329264,0.16047442651664595,0.03991067895089591,0.06356262250233095,0.5301130511256447,-0.08471247819857952,0.16453383610037134,-0.12282580192185603,0.09238755451094012,0.18378124327814427,-0.3039641544819694,0.05831255063825731
lead_lag_populism_to_corruption_L2_ffill_le10,populism_to_corruption,v2x_corr,populism_governing,1-2,3649,95,True,True,"log_gdppc, v2x_polyarchy",Lagged populism predicts lower later corruption,-0.05012261465233833,0.022673102028350503,0.027123486004460018,-0.09457643774337687,-0.005668791561299784,-0.009347891372392392,0.019359974895185716,0.6292350781380425,-0.047305860156787484,0.0286100774120027,,,,,
lead_lag_corruption_to_populism_L2_ffill_le10,corruption_to_populism,populism_governing,v2x_corr,1-2,3649,95,True,True,"log_gdppc, v2x_polyarchy",No robust lag coefficient at p < 0.05,-0.11207211157930837,0.12750528486484858,0.3794829689831347,-0.3620642551098694,0.1379200319512527,-0.09593271682442338,0.11244390759643233,0.393628554997816,-0.31639490015102223,0.12452946650217546,,,,,
