direction,model_type,lag_order,n_obs,n_countries,rss,n_parameters_approx,aic,bic,best_aic,best_bic
populism_to_corruption,granger,1,3845,95,4.602366831793031,148,-25572.999210245685,-24647.328935718604,True,True
populism_to_corruption,granger,2,3750,95,4.373834947992896,149,-25029.015995825015,-24100.818839099313,False,False
populism_to_corruption,granger,3,3655,95,4.319346086315544,150,-24337.431565323575,-23406.853859495994,False,False
populism_to_corruption,granger,4,3560,95,4.02699931478149,151,-23850.799751192935,-22917.994861792176,False,False
populism_to_corruption,granger,5,3465,95,3.9698665127701798,152,-23160.06330471976,-22225.19218215291,False,False
corruption_to_populism,granger,1,3845,95,28.374611338105865,148,-18579.236128216897,-17653.565853689815,True,True
corruption_to_populism,granger,2,3750,95,28.101978185149807,149,-18053.26680145455,-17125.069644728846,False,False
corruption_to_populism,granger,3,3655,95,27.88859251192539,150,-17520.44094508888,-16589.8632392613,False,False
corruption_to_populism,granger,4,3560,95,27.354431750536463,151,-17030.348680110823,-16097.543790710066,False,False
corruption_to_populism,granger,5,3465,95,26.43453483466504,152,-16590.63528366271,-15655.76416109586,False,False
