outcome_key,outcome,estimator,coefficient,std_error,p_value,ci_low,ci_high,standardized_coefficient,n_obs,n_countries,fdr_q_value,reject_fdr_05
composite,Composite,cluster_country,-0.06378635248144941,0.0303809898827164,0.03583451304327134,-0.12335100573257127,-0.004221699230327551,-0.09704040367859047,3940,95,,False
composite,Composite,cluster_country_year,-0.06378635248144941,0.030010526746445738,0.033612201140313935,-0.12262467955493614,-0.004948025407962686,-0.09704040367859047,3940,95,,False
composite,Composite,driscoll_kraay,-0.06378635248144941,0.014079720078501714,6.069260656049735e-06,-0.0913909054465231,-0.03618179951637572,-0.09704040367859047,3940,95,,False
composite,Composite,first_difference,-0.020777213776762463,0.017264572496209496,0.22887365974516838,-0.05462595531663579,0.013071527763110866,-0.05185135611936223,3845,95,,False
executive,Executive,cluster_country,0.016542459730528192,0.040733012994453456,0.6846779092519235,-0.06331826252554096,0.09640318198659734,0.020887369927898275,3940,95,0.6846779092519235,False
executive,Executive,cluster_country_year,0.016542459730528192,0.04008703638851602,0.6798764391695262,-0.06205176750054213,0.09513668696159851,0.020887369927898275,3940,95,0.6798764391695262,False
executive,Executive,driscoll_kraay,0.016542459730528192,0.015002429286592407,0.27024824440703843,-0.012871147325400071,0.04595606678645646,0.020887369927898275,3940,95,0.27024824440703843,False
executive,Executive,first_difference,0.007627883766733489,0.02181794958477894,0.7266470160549354,-0.03514816160521602,0.050403929138683,0.014122183857581029,3845,95,0.7266470160549354,False
public_sector,Public sector,cluster_country,-0.07340888926609504,0.03850958416680072,0.056693301918256056,-0.14891038005344148,0.0020926015212513888,-0.09706865589826419,3940,95,0.11338660383651211,False
public_sector,Public sector,cluster_country_year,-0.07340888926609504,0.037851621694654114,0.05252846458823979,-0.14762038566362867,0.000802607131438593,-0.09706865589826419,3940,95,0.10505692917647957,False
public_sector,Public sector,driscoll_kraay,-0.07340888926609504,0.013184594308966471,2.7589192486132674e-08,-0.0992584679434862,-0.04755931058870388,-0.09706865589826419,3940,95,5.517838497226535e-08,True
public_sector,Public sector,first_difference,-0.018410013867056672,0.018205327629020236,0.3119645444376906,-0.054103190150379996,0.01728316241626665,-0.038295377153776955,3845,95,0.41595272591692084,False
legislative,Legislative,cluster_country,-0.2430965396710255,0.17273361072594176,0.1594101936974719,-0.5817621218259125,0.09556904248386144,-0.0758002592260415,3745,95,0.21254692492996252,False
legislative,Legislative,cluster_country_year,-0.2430965396710255,0.1698219996911196,0.15237998125503993,-0.5760535487116671,0.08986046936961606,-0.0758002592260415,3745,95,0.20317330834005323,False
legislative,Legislative,driscoll_kraay,-0.2430965396710255,0.06462108372085698,0.0001713286869235997,-0.36979415715165725,-0.11639892219039377,-0.0758002592260415,3745,95,0.00022843824923146627,True
legislative,Legislative,first_difference,-0.10494440945416628,0.07495658348745177,0.16157949561367424,-0.25190645284371055,0.042017633935377996,-0.05074405038093191,3621,95,0.3231589912273485,False
judicial,Judicial,cluster_country,-0.5395278194766288,0.17583389883131936,0.0021673214064068524,-0.8842659354535112,-0.19478970349974628,-0.17348908649455055,3940,95,0.00866928562562741,True
judicial,Judicial,cluster_country_year,-0.5395278194766288,0.1751019892618659,0.002076325474161367,-0.8828309611526747,-0.19622467780058284,-0.17348908649455055,3940,95,0.008305301896645467,True
judicial,Judicial,driscoll_kraay,-0.5395278194766288,0.07985073425747347,1.627387113956047e-11,-0.696082339795261,-0.3829732991579965,-0.17348908649455055,3940,95,6.509548455824188e-11,True
judicial,Judicial,first_difference,-0.1630992635261647,0.07667966339042691,0.03348268783085251,-0.31343661523509936,-0.012761911817229993,-0.0801512051413052,3845,95,0.13393075132341004,False
