outcome,sample_mode,coefficient,ci_low,ci_high,p_value,fdr_q_value,standardized_coefficient,standardized_ci_low,standardized_ci_high,n_obs,n_countries
Composite,outcome_specific,-0.06378635248144941,-0.12335100573257127,-0.004221699230327551,0.03583451304327134,,-0.09704040367859047,-0.18765818901355133,-0.006422618343629597,3940,95
Executive,outcome_specific,0.016542459730528192,-0.06331826252554096,0.09640318198659734,0.6846779092519235,0.6846779092519235,0.020887369927898275,-0.07994893106023744,0.12172367091603399,3940,95
Public sector,outcome_specific,-0.07340888926609504,-0.14891038005344148,0.0020926015212513888,0.056693301918256056,0.11338660383651211,-0.09706865589826419,-0.1969043611147961,0.002767049318267671,3940,95
Legislative,outcome_specific,-0.2430965396710255,-0.5817621218259125,0.09556904248386144,0.1594101936974719,0.21254692492996252,-0.0758002592260415,-0.18140003021833254,0.02979951176624953,3745,95
Judicial,outcome_specific,-0.5395278194766288,-0.8842659354535112,-0.19478970349974628,0.0021673214064068524,0.00866928562562741,-0.17348908649455055,-0.2843421299552178,-0.0626360430338833,3940,95
Composite,common,-0.05763120876661164,-0.11998079326434868,0.0047183757311254,0.07003072584041403,,-0.09032126436646015,-0.18803730095637167,0.007394772223451372,3745,95
Executive,common,0.02065156187196621,-0.05939679627564372,0.10069992001957613,0.6130150765178057,0.6130150765178057,0.026563925200714454,-0.07640158469418726,0.12952943509561615,3745,95
Public sector,common,-0.07369963913861946,-0.15404548929015652,0.006646211012917597,0.07219098540631674,0.1443819708126335,-0.09964518611508666,-0.20827634476793136,0.008985972537758046,3745,95
Legislative,common,-0.2430965396710255,-0.5817621218259125,0.09556904248386144,0.1594101936974719,0.21254692492996252,-0.0758002592260415,-0.18140003021833254,0.02979951176624953,3745,95
Judicial,common,-0.4330932755330237,-0.7645110900093188,-0.10167546105672853,0.010443849162270702,0.04177539664908281,-0.14407649506759843,-0.25432876590681,-0.03382422422838691,3745,95
