outcome_key,outcome,model,sample_mode,coefficient,std_error,p_value,ci_low,ci_high,standardized_coefficient,standardized_ci_low,standardized_ci_high,within_r2,n_obs,n_countries,country_fe,year_fe,clustered_by_country,fdr_q_value,reject_fdr_05
composite,Composite,M1,outcome_specific,-0.06765836143757623,0.03657246871348819,0.0643940170789632,-0.1393619517223108,0.004045228847158369,-0.10293102600660238,-0.2120161998054725,0.006154147792267795,0.009869482392828366,3940,95,True,True,True,,False
composite,Composite,M2,outcome_specific,-0.07153577345796878,0.035305290170628285,0.042813563312354974,-0.14075495289001755,-0.002316594025920035,-0.10882986820480677,-0.2141354210868324,-0.003524315322781145,-0.058530431319987475,3940,95,True,True,True,,False
composite,Composite,M3,outcome_specific,-0.06378635248144941,0.0303809898827164,0.03583451304327134,-0.12335100573257127,-0.004221699230327551,-0.09704040367859047,-0.18765818901355133,-0.006422618343629597,-0.1955712366055895,3940,95,True,True,True,,False
executive,Executive,M1,outcome_specific,0.010015550485332892,0.049502721589394276,0.8396748863245682,-0.08703895503991549,0.10707005601058128,0.012646154890292704,-0.10989991099699492,0.13519222077758034,0.00013437309470698544,3940,95,True,True,True,,False
executive,Executive,M2,outcome_specific,0.005667759355590123,0.046992346919728464,0.9040061254525156,-0.08646494023841755,0.0978004589495978,0.007156407707860099,-0.10917513005762529,0.12348794547334548,-0.022068203341275572,3940,95,True,True,True,,False
executive,Executive,M3,outcome_specific,0.016542459730528192,0.040733012994453456,0.6846779092519235,-0.06331826252554096,0.09640318198659734,0.020887369927898275,-0.07994893106023744,0.12172367091603399,-0.09169449279559849,3940,95,True,True,True,0.6846779092519235,False
public_sector,Public sector,M1,outcome_specific,-0.07671665459315014,0.04810303622230373,0.1108312507095357,-0.171026951985345,0.017593642799044754,-0.10144251766805965,-0.2261491287712752,0.02326409343515591,0.009235555838099208,3940,95,True,True,True,,False
public_sector,Public sector,M2,outcome_specific,-0.08160870243143509,0.04500232368979906,0.0698440299569838,-0.16983978347590806,0.006622378613037896,-0.10791127796398271,-0.2245793345312605,0.00875677860329509,-0.07884089610765477,3940,95,True,True,True,,False
public_sector,Public sector,M3,outcome_specific,-0.07340888926609504,0.03850958416680072,0.056693301918256056,-0.14891038005344148,0.0020926015212513888,-0.09706865589826419,-0.1969043611147961,0.002767049318267671,-0.21900875700195122,3940,95,True,True,True,0.11338660383651211,False
legislative,Legislative,M1,outcome_specific,-0.262428031903325,0.17077885957006927,0.12446592074512952,-0.5972610203437871,0.07240495653713719,-0.08182803783785347,-0.18623276262564223,0.022576686949935285,0.0044840233763057125,3745,95,True,True,True,,False
legislative,Legislative,M2,outcome_specific,-0.2697317864583478,0.1704422285968552,0.11361402460515357,-0.6039047996421383,0.06444122672544272,-0.0841054313760063,-0.18830436839073098,0.020093505638718357,-0.08086205984095463,3745,95,True,True,True,,False
legislative,Legislative,M3,outcome_specific,-0.2430965396710255,0.17273361072594176,0.1594101936974719,-0.5817621218259125,0.09556904248386144,-0.0758002592260415,-0.18140003021833254,0.02979951176624953,-0.14762204610996665,3745,95,True,True,True,0.21254692492996252,False
judicial,Judicial,M1,outcome_specific,-0.5578543738050588,0.19726071403217801,0.004708457576299452,-0.9446016160829904,-0.17110713152712714,-0.17938212306144402,-0.30374350600583444,-0.055020740117053595,0.033276557482874614,3940,95,True,True,True,,False
judicial,Judicial,M2,outcome_specific,-0.570462234643349,0.19715216953416406,0.0038313020588098823,-0.9569966982449589,-0.18392777104173902,-0.1834362722276672,-0.30772923464424057,-0.059143309811093815,0.017595815062727782,3940,95,True,True,True,,False
judicial,Judicial,M3,outcome_specific,-0.5395278194766288,0.17583389883131936,0.0021673214064068524,-0.8842659354535112,-0.19478970349974628,-0.17348908649455055,-0.2843421299552178,-0.0626360430338833,-0.04580527178676763,3940,95,True,True,True,0.00866928562562741,True
composite,Composite,M1,common,-0.06975608392445283,0.03707629985956488,0.059995464547852206,-0.14244873636132704,0.0029365685124213836,-0.10932371248405298,-0.22324969839975917,0.004602273431653177,0.010792277608337453,3745,95,True,True,True,,False
composite,Composite,M2,common,-0.07153699628337305,0.03598557151411706,0.04689446588653956,-0.14209114805087203,-0.0009828445158740623,-0.11211480882622653,-0.2226892758611003,-0.0015403417913527472,-0.05740113950061865,3745,95,True,True,True,,False
composite,Composite,M3,common,-0.05763120876661164,0.03180089570669977,0.07003072584041403,-0.11998079326434868,0.0047183757311254,-0.09032126436646015,-0.18803730095637167,0.007394772223451372,-0.1807559409618733,3745,95,True,True,True,,False
executive,Executive,M1,common,0.0029735193262090537,0.04876729223620994,0.9513835867370468,-0.09264076360498653,0.09858780225740464,0.003824812159680771,-0.11916301198896356,0.12681263630832512,1.5518787053858674e-05,3745,95,True,True,True,,False
executive,Executive,M2,common,0.000949962465519452,0.04646413852041476,0.9836894657381854,-0.09014871244726867,0.09204863737830758,0.0012219284930599025,-0.11595750816506957,0.11840136515118939,-0.02597793198282794,3745,95,True,True,True,,False
executive,Executive,M3,common,0.02065156187196621,0.04082801047434544,0.6130150765178057,-0.05939679627564372,0.10069992001957613,0.026563925200714454,-0.07640158469418726,0.12952943509561615,-0.0844769263784928,3745,95,True,True,True,0.6130150765178057,False
public_sector,Public sector,M1,common,-0.08660189920432228,0.04869610694093884,0.07542005503400095,-0.18207661459648733,0.00887281618784276,-0.11708961488812407,-0.24617567142421343,0.011996441647965268,0.012049620821083629,3745,95,True,True,True,,False
public_sector,Public sector,M2,common,-0.08870811692418752,0.045741571880192754,0.05253891840344305,-0.17839011081034928,0.0009738769619742488,-0.11993731481105203,-0.24119135453776608,0.001316724915662009,-0.06712318027115272,3745,95,True,True,True,,False
public_sector,Public sector,M3,common,-0.07369963913861946,0.040979743838195,0.07219098540631674,-0.15404548929015652,0.006646211012917597,-0.09964518611508666,-0.20827634476793136,0.008985972537758046,-0.18487181092260396,3745,95,True,True,True,0.1443819708126335,False
legislative,Legislative,M1,common,-0.262428031903325,0.17077885957006927,0.12446592074512952,-0.5972610203437871,0.07240495653713719,-0.08182803783785347,-0.18623276262564223,0.022576686949935285,0.0044840233763057125,3745,95,True,True,True,,False
legislative,Legislative,M2,common,-0.2697317864583478,0.1704422285968552,0.11361402460515357,-0.6039047996421383,0.06444122672544272,-0.0841054313760063,-0.18830436839073098,0.020093505638718357,-0.08086205984095463,3745,95,True,True,True,,False
legislative,Legislative,M3,common,-0.2430965396710255,0.17273361072594176,0.1594101936974719,-0.5817621218259125,0.09556904248386144,-0.0758002592260415,-0.18140003021833254,0.02979951176624953,-0.14762204610996665,3745,95,True,True,True,0.21254692492996252,False
judicial,Judicial,M1,common,-0.4884495513396748,0.19943527636103703,0.014366202789166671,-0.8794669744125652,-0.09743212826678455,-0.16249178491111263,-0.29257096879447136,-0.03241260102775394,0.027713420664943644,3745,95,True,True,True,,False
judicial,Judicial,M2,common,-0.494159023620225,0.19943834064403465,0.013266807442254391,-0.8851824911379572,-0.10313555610249281,-0.1643911465529088,-0.29447234123273247,-0.034309951873085096,0.021266193367774355,3745,95,True,True,True,,False
