outcome_key,outcome,direction,model,sample_mode,lag,term,coefficient,std_error,p_value,ci_low,ci_high,standardized_coefficient,standardized_ci_low,standardized_ci_high,n_obs,n_countries
composite,Composite,populism_to_corruption,lead_lag,outcome_specific,1,populism_governing_lag1,-0.04828271418866661,0.022436138412667256,0.03146307021063688,-0.09227151050987059,-0.004293917867462624,-0.07378087929503602,-0.14100021702792798,-0.006561541562144052,3750,95
composite,Composite,populism_to_corruption,lead_lag,outcome_specific,2,populism_governing_lag2,-0.00802645295347239,0.019434694152734758,0.6796340373866083,-0.046130550321978055,0.03007764441503328,-0.012265233354806684,-0.07049215484904042,0.045961688139427054,3750,95
composite,Composite,populism_to_corruption,granger,outcome_specific,1,populism_governing_lag1,-0.000497307201208172,0.0063971444550000875,0.938040039443981,-0.013039694477652122,0.012045080075235777,-0.0007599357907162761,-0.01992597434643862,0.01840610276500607,3750,95
composite,Composite,populism_to_corruption,granger,outcome_specific,2,populism_governing_lag2,0.003786188671716787,0.006517877479589499,0.5613489882865623,-0.0089929105255082,0.016565287868941774,0.005785679907815546,-0.013742078446561806,0.0253134382621929,3750,95
composite,Composite,corruption_to_populism,lead_lag,outcome_specific,1,corruption_composite_lag1,-0.06633816884150236,0.12206734627657581,0.5868498442228198,-0.30566614650269125,0.1729898088196865,-0.04317285879828283,-0.19892742915327452,0.11258171155670883,3750,95
composite,Composite,corruption_to_populism,lead_lag,outcome_specific,2,corruption_composite_lag2,-0.1258718443122979,0.10929006147148018,0.24951143831717126,-0.3401483907293279,0.08840470210473209,-0.08191735551456032,-0.2213684625288164,0.05753375149969574,3750,95
composite,Composite,corruption_to_populism,granger,outcome_specific,1,corruption_composite_lag1,-0.022764260980115306,0.02791414120937281,0.414834369830551,-0.07749336269105869,0.03196484073082807,-0.014814973673601333,-0.05043265534293919,0.020802707995736518,3750,95
composite,Composite,corruption_to_populism,granger,outcome_specific,2,corruption_composite_lag2,-0.007617034896772195,0.026839897667449056,0.7765836220839448,-0.06023995022615036,0.04500588043260598,-0.004957163844025263,-0.03920414009833373,0.0292898124102832,3750,95
executive,Executive,populism_to_corruption,lead_lag,outcome_specific,1,populism_governing_lag1,0.014847538501933422,0.031043249364552418,0.6324759694848301,-0.04601655264998514,0.07571162965385199,0.018798973341737323,-0.058263121960119874,0.09586106864359452,3750,95
executive,Executive,populism_to_corruption,lead_lag,outcome_specific,2,populism_governing_lag2,0.009180251702699682,0.026761963441158915,0.7315932166863506,-0.04328985421820133,0.061650357623600695,0.01162342882673899,-0.05481075636272567,0.07805761401620365,3750,95
executive,Executive,populism_to_corruption,granger,outcome_specific,1,populism_governing_lag1,0.013546455844943125,0.013791384627153791,0.3260473729359159,-0.013493247305258135,0.04058615899514438,0.017151628350446518,-0.017084259209160194,0.05138751591005323,3750,95
executive,Executive,populism_to_corruption,granger,outcome_specific,2,populism_governing_lag2,-0.0075771706363822675,0.013628506918539358,0.5782593928685404,-0.03429753203738396,0.01914319076461943,-0.009593713380881037,-0.04342527149360168,0.02423784473183961,3750,95
executive,Executive,corruption_to_populism,lead_lag,outcome_specific,1,corruption_executive_lag1,0.09820321117199582,0.09613102512841519,0.30705972818640204,-0.09027343337102928,0.2866798557150209,0.07681370476129955,-0.07061110096090722,0.22423851048350632,3750,95
executive,Executive,corruption_to_populism,lead_lag,outcome_specific,2,corruption_executive_lag2,-0.08661325451097444,0.07248923760410202,0.23222701894525533,-0.22873728003605692,0.05551077101410802,-0.06774814062616435,-0.17891632755083245,0.04342004629850374,3750,95
executive,Executive,corruption_to_populism,granger,outcome_specific,1,corruption_executive_lag1,-0.0010357589200563908,0.020830551872334537,0.9603458314877296,-0.04187661386755825,0.03980509602744547,-0.0008101616936919674,-0.032755526175124235,0.0311352027877403,3750,95
executive,Executive,corruption_to_populism,granger,outcome_specific,2,corruption_executive_lag2,-0.0075015954141394075,0.020372067948896823,0.7127237893848073,-0.04744353632769529,0.03244034549941647,-0.005867683230553491,-0.03710992490790167,0.02537455844679469,3750,95
public_sector,Public sector,populism_to_corruption,lead_lag,outcome_specific,1,populism_governing_lag1,-0.054051305997329456,0.027959589511652484,0.05329055984363973,-0.10886950446049085,0.0007668924658319268,-0.07141921220472383,-0.14385173675676008,0.0010133123473123923,3750,95
public_sector,Public sector,populism_to_corruption,lead_lag,outcome_specific,2,populism_governing_lag2,-0.016581454726272555,0.023838567463697054,0.48674136790810874,-0.06331988490808149,0.03015697545553638,-0.021909450880191327,-0.08366599499468887,0.039847093234306206,3750,95
public_sector,Public sector,populism_to_corruption,granger,outcome_specific,1,populism_governing_lag1,-0.006318809096948034,0.009030858264672072,0.48416556065025684,-0.024024915718576626,0.011387297524680557,-0.00834918526849967,-0.03174466411580147,0.015046293578802128,3750,95
public_sector,Public sector,populism_to_corruption,granger,outcome_specific,2,populism_governing_lag2,0.007527279671012573,0.009623874374033836,0.4341798921282982,-0.011341507855683244,0.02639606719770839,0.009945964750137802,-0.014985790654283251,0.03487772015455886,3750,95
public_sector,Public sector,corruption_to_populism,lead_lag,outcome_specific,1,corruption_public_sector_lag1,-0.06921591010307519,0.09596363284255278,0.4707887824321264,-0.2573643615750331,0.11893254136888272,-0.05205585377844619,-0.1935584109777941,0.08944670342090172,3750,95
public_sector,Public sector,corruption_to_populism,lead_lag,outcome_specific,2,corruption_public_sector_lag2,-0.0958553514046816,0.07957702474780563,0.22845205749468422,-0.25187585141649643,0.060165148607133234,-0.07209082636019531,-0.18943061605537195,0.04524896333498133,3750,95
public_sector,Public sector,corruption_to_populism,granger,outcome_specific,1,corruption_public_sector_lag1,-0.00902428048357306,0.02486772062122473,0.7167073479124055,-0.057780500529538495,0.03973193956239238,-0.006786974622005203,-0.043455518858769644,0.02988156961475924,3750,95
public_sector,Public sector,corruption_to_populism,granger,outcome_specific,2,corruption_public_sector_lag2,-0.016255735033603266,0.023251263944291233,0.4845138125834625,-0.06184269326278309,0.02933122319557656,-0.01222560195640367,-0.04651060995887572,0.022059406046068382,3750,95
legislative,Legislative,populism_to_corruption,lead_lag,outcome_specific,1,populism_governing_lag1,-0.2681069629089188,0.12333318689815079,0.029785113768904914,-0.5099208971491119,-0.0262930286687256,-0.08454717394466434,-0.1608028762905773,-0.00829147159875138,3576,95
legislative,Legislative,populism_to_corruption,lead_lag,outcome_specific,2,populism_governing_lag2,0.11767745857802218,0.10244135549503967,0.25074743097455165,-0.08317478422999362,0.318529701386038,0.03710942995218683,-0.02622905751422864,0.1004479174186023,3576,95
legislative,Legislative,populism_to_corruption,granger,outcome_specific,1,populism_governing_lag1,-0.03280666819819699,0.02767871351792093,0.23599585709831228,-0.08707553966814985,0.021462203271755874,-0.010465280607235145,-0.027776973606350713,0.006846412391880428,3501,95
legislative,Legislative,populism_to_corruption,granger,outcome_specific,2,populism_governing_lag2,0.07325895086455395,0.025441767128289886,0.004008608894203514,0.02337599697077248,0.12314190475833542,0.02336950138177531,0.007456909866466037,0.039282092897084585,3501,95
legislative,Legislative,corruption_to_populism,lead_lag,outcome_specific,1,corruption_legislative_lag1,-0.015565582133836634,0.023122719372370128,0.5008834723847064,-0.060901509044434865,0.0297703447767616,-0.048875207672104036,-0.19122792045282824,0.09347750510862017,3527,95
legislative,Legislative,corruption_to_populism,lead_lag,outcome_specific,2,corruption_legislative_lag2,-0.013283168827917967,0.0181945853291837,0.4654030860413143,-0.04895667147130383,0.022390333815467893,-0.041708535500052574,-0.1537216831674751,0.07030461216736991,3527,95
