outcome_key,outcome,direction,coefficient,std_error,p_value,ci_low,ci_high,standardized_coefficient,n_obs,n_countries,model,sample_mode,fdr_q_value,reject_fdr_05
composite,Composite,populism_to_corruption,-0.002915240317444413,0.006715705851069996,0.6642462888581395,-0.016082090270297677,0.010251609635408849,-0.00718430122645994,3750,95,first_difference,outcome_specific,,False
composite,Composite,corruption_to_populism,-0.01583633747963895,0.029002641037583946,0.585077642576137,-0.07269907555168977,0.04102640059241186,-0.006298048720186245,3750,95,first_difference,outcome_specific,,False
executive,Executive,populism_to_corruption,0.01351409098148905,0.013160812433596248,0.3045614376847918,-0.012289070504983457,0.039317252467961555,0.024624534730637866,3750,95,first_difference,outcome_specific,0.7419897786141736,False
executive,Executive,corruption_to_populism,0.0017694645343912753,0.019079112289850257,0.9261123235723225,-0.03563714831093935,0.039176077379721896,0.0009472282927482849,3750,95,first_difference,outcome_specific,0.9731004623458386,False
public_sector,Public sector,populism_to_corruption,-0.006707434190015996,0.009153501196707658,0.46374361163385847,-0.02465383915072611,0.011238970770694119,-0.013627268059287273,3750,95,first_difference,outcome_specific,0.7419897786141736,False
public_sector,Public sector,corruption_to_populism,0.0008251491577080016,0.02446898901736333,0.9731004623458386,-0.04714888574411923,0.04879918405953524,0.00039302086368742854,3750,95,first_difference,outcome_specific,0.9731004623458386,False
legislative,Legislative,populism_to_corruption,-0.025878900282412364,0.029095668614540444,0.37382707493954404,-0.08292515260109302,0.0311673520362683,-0.012464879146518268,3540,95,first_difference,outcome_specific,0.7419897786141736,False
legislative,Legislative,corruption_to_populism,-0.008566287606123246,0.0067002168519961275,0.20115536703619874,-0.02170304559784382,0.004570470385597327,-0.0174589454957149,3527,95,first_difference,outcome_specific,0.7419897786141736,False
judicial,Judicial,populism_to_corruption,-0.037010557276903826,0.028919481790933496,0.2007029874595918,-0.09371025287104975,0.019689138317242103,-0.017850055357483807,3750,95,first_difference,outcome_specific,0.7419897786141736,False
judicial,Judicial,corruption_to_populism,-0.004069785185332139,0.007434568651119084,0.5841275291764509,-0.01864604151107266,0.010506471140408383,-0.008150433380379468,3750,95,first_difference,outcome_specific,0.7788367055686013,False
