outcome_key,outcome,polyarchy_quantile,polyarchy_value,marginal_slope,std_error,ci_low,ci_high,p_value,interaction_coefficient,interaction_p_value,n_obs,n_countries
composite,Composite,0.1,0.136,-0.16354974097032982,0.06015481296673053,-0.28145317438512163,-0.045646307555537974,0.006551646013201922,0.2568392055593684,0.011837128998875901,3940,95
composite,Composite,0.5,0.481,-0.07494021505234773,0.032382029991560424,-0.13840899383580615,-0.011471436268889301,0.020653839805267735,0.2568392055593684,0.011837128998875901,3940,95
composite,Composite,0.9,0.876,0.0265112711436028,0.03386523921465713,-0.03986459771712518,0.09288714000433078,0.4337174803286751,0.2568392055593684,0.011837128998875901,3940,95
executive,Executive,0.1,0.136,-0.05094808424311972,0.07476908553730974,-0.1974954918962468,0.09559932341000735,0.49561479030650823,0.1737532972719088,0.16250492259747595,3940,95
executive,Executive,0.5,0.481,0.008996803315688806,0.04304268389716963,-0.07536685712276367,0.09336046375414128,0.8344322352699263,0.1737532972719088,0.16250492259747595,3940,95
executive,Executive,0.9,0.876,0.07762935573809279,0.045772675722707726,-0.012085088678414346,0.16734380015459993,0.08989044076536336,0.1737532972719088,0.16250492259747595,3940,95
public_sector,Public sector,0.1,0.136,-0.18968205107984307,0.07763410406771407,-0.34184489505256266,-0.0375192071071235,0.014554337846086922,0.29934334589534817,0.019189195618564803,3940,95
public_sector,Public sector,0.5,0.481,-0.08640859674594797,0.04111250528144955,-0.16698910709758907,-0.005828086394306861,0.03557435236137466,0.29934334589534817,0.019189195618564803,3940,95
public_sector,Public sector,0.9,0.876,0.03183202488271458,0.03868744036974999,-0.043995358241995394,0.10765940800742456,0.41062175217457353,0.29934334589534817,0.019189195618564803,3940,95
legislative,Legislative,0.1,0.151,-0.5525626394549082,0.3965509974371028,-1.3298025944316296,0.22467731552181325,0.16349240315168467,0.778284152686601,0.2631045180606071,3745,95
legislative,Legislative,0.5,0.512,-0.27160206033504525,0.18848755103467354,-0.6410376603630055,0.09783353969291492,0.14959742440184584,0.778284152686601,0.2631045180606071,3745,95
legislative,Legislative,0.9,0.879,0.014028223700937259,0.20239692204030676,-0.382669743498064,0.4107261908999385,0.9447425001547465,0.778284152686601,0.2631045180606071,3745,95
judicial,Judicial,0.1,0.136,-1.1833975953300508,0.3455451490944155,-1.8606660875551053,-0.5061291031049964,0.0006154188373820246,1.6576321656547752,0.0024899102394508876,3940,95
judicial,Judicial,0.5,0.481,-0.6115144981791536,0.1874366859571857,-0.9788904026552376,-0.24413859370306962,0.0011042937062994867,1.6576321656547752,0.0024899102394508876,3940,95
judicial,Judicial,0.9,0.876,0.0432502072544827,0.16226576292252765,-0.27479068807367146,0.36129110258263686,0.7898238758394487,1.6576321656547752,0.0024899102394508876,3940,95
